597,3000382,"analog-value","GLRF.FUME-EXH.EF27 VFD.KWH (R)","Energy in KWH"
597,3000383,"analog-value","GLRF.FUME-EXH.EF27 VFD.MWH (NR)","Mega Watt Hour"
597,3000390,"analog-value","GLRF.FUME-EXH.EF28 VFD.OUTPUT SPEED","Rated Speed"
597,3000391,"analog-value","GLRF.FUME-EXH.EF28 VFD.OUTPUT FREQ","Frequency Actual"
597,3000392,"analog-value","GLRF.FUME-EXH.EF28 VFD.RUN TIME (R)","Run Time"
597,3000393,"analog-value","GLRF.FUME-EXH.EF28 VFD.MOTOR TEMP","Motor Temp"
597,3000394,"analog-value","GLRF.FUME-EXH.EF28 VFD.CURRENT","Current"
597,3000395,"analog-value","GLRF.FUME-EXH.EF28 VFD.TORQUE","Torque"
597,3000396,"analog-value","GLRF.FUME-EXH.EF28 VFD.POWER","Power"
597,3000397,"analog-value","GLRF.FUME-EXH.EF28 VFD.DRIVE TEMP","Drive Temp"
597,3000398,"analog-value","GLRF.FUME-EXH.EF28 VFD.KWH (R)","Energy in KWH"
597,3000399,"analog-value","GLRF.FUME-EXH.EF28 VFD.MWH (NR)","Mega Watt Hour"
597,3000406,"analog-value","GLRF.ACID-EXH.EF41 VFD.OUTPUT SPEED","Rated Speed"
597,3000407,"analog-value","GLRF.ACID-EXH.EF41 VFD.OUTPUT FREQ","Frequency Actual"
597,3000408,"analog-value","GLRF.ACID-EXH.EF41 VFD.RUN TIME (R)","Run Time"
597,3000409,"analog-value","GLRF.ACID-EXH.EF41 VFD.MOTOR TEMP","Motor Temp"
597,3000410,"analog-value","GLRF.ACID-EXH.EF41 VFD.CURRENT","Current"
597,3000411,"analog-value","GLRF.ACID-EXH.EF41 VFD.TORQUE","Torque"
597,3000412,"analog-value","GLRF.ACID-EXH.EF41 VFD.POWER","Power"
597,3000413,"analog-value","GLRF.ACID-EXH.EF41 VFD.DRIVE TEMP","Drive Temp"
597,3000414,"analog-value","GLRF.ACID-EXH.EF41 VFD.KWH (R)","Energy in KWH"
597,3000415,"analog-value","GLRF.ACID-EXH.EF41 VFD.MWH (NR)","Mega Watt Hour"
